PREFIXO: ;A6-001
NOME DO POSTO: ;RIOLANDIA
MUNICÍPIO: ;RIOLANDIA
CURSO D'ÁGUA: ;GRANDE,R
LATITUDE: ;19°58'00"
LONGITUDE: ;49°41'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  12/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3;  6,3;  0,0;  3,0;  0,5;  0,0; 21,4; 15,5; 22,9;  6,3; 18,5; 10,5;  5,8;  3,4; 28,5;  4,1;  0,0;  0,0;  7,4;  1,1;  7,9;  0,0;  0,0;0,0;0,0;9,4;28,5;175,8
  01/1959;  0,0;  0,0;  2,0; 10,2; 19,2;  2,6;  2,5;  0,0;  0,0;  4,9;  0,4; 49,4;  7,3;  8,5;  0,0;  0,0; 16,5; 25,1; 33,7;  0,0;  0,0;  3,2; 26,7;  0,0;  5,1; 20,6;  0,0;  0,0;5,6;10,1;0,0;49,4;253,6
  02/1959;  8,7;  1,4; 38,1;  0,0; 19,0;  0,0;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 38,1;  0,0;  0,0; 10,0;  1,1;  0,0;  0,0;  0,0;  0,0;  6,0;  0,0;  0,0;  6,0;---;---;---;38,1;130,6
  03/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0; 10,0; 19,1;  0,0;  2,3;  3,5;  5,4;  1,1;  0,0;  0,0;  6,4; 52,2;  2,1;  6,5; 14,7;  0,0;  9,8;  0,0;  0,0;  0,0;  0,0;7,7;0,0;0,0;52,2;148,8
  04/1959;  0,0;  0,0;  0,0;  0,0;  0,0; 23,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,4;  0,0;  0,0;  0,0;0,0;0,0;---;23,7;29,1
  05/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,2; 18,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;18,5;28,7
  06/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;11,2;11,2
  07/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1959; 21,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  0,0; 12,6;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;21,0;36,4
  09/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,4; 20,4;  0,0;0,0;0,0;---;20,4;30,9
