PREFIXO: ;A7-002
NOME DO POSTO: ;INDIAPORA
MUNICÍPIO: ;INDIAPORA
CURSO D'ÁGUA: ;GRANDE,R
LATITUDE: ;19°59'00"
LONGITUDE: ;50°15'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1959;---;---;---;---;  0,0;  0,0;  0,0;  0,8; 25,4;  0,0;  0,0;  0,0; 11,5;  0,0;  0,0;  0,6;  1,4; 30,4; 39,9;  1,5; 44,9;  5,0;  0,0;  0,0;  0,6;  0,0;  0,0; 13,1;0,0;0,0;0,0;---;---
  04/1959;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,5;  0,0;  0,0;  0,0;  0,0;  7,5;  0,0;0,0;0,0;---;33,5;43,8
  05/1959;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;17,5;20,0
  06/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;9,5;9,5
  07/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;10,6;10,6;10,6
  08/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 27,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;27,5;28,0
  09/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;0,0;0,0;---;1,5;1,5
  10/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,1;  1,3;  2,5;  0,0;  0,0;  0,0;  0,0;  2,5;  1,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5;0,0;0,0;0,0;2,5;11,6
  11/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  6,0; 70,6;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  0,0;  0,0;  0,0;  0,0;0,5;0,0;---;70,6;79,0
  01/1960;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,7;  2,5;  9,0;  0,0;  0,5;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  6,0;  0,0;  0,5;  0,8;  1,8;  0,6;  3,5;  0,0;  0,0;  0,0;0,0;0,0;0,0;9,0;32,9
