PREFIXO: ;B6-001
NOME DO POSTO: ;ICEM
MUNICÍPIO: ;ICEM
CURSO D'ÁGUA: ;GRANDE,R
LATITUDE: ;20°20'26"
LONGITUDE: ;49°12'07"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  02/1936;  0,0;  0,3;  0,0; 33,8;  4,3; 20,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,1;  1,4;  8,5;  8,2;  0,0;  0,0;  5,9; 45,6; 12,2; 43,0;  0,2;0,0;---;---;45,6;192,8
  03/1936;  0,7;  0,9; 17,5;  1,0;  2,8; 46,5;  2,6;  0,0;  2,0;  0,0;  0,0;  0,0;  0,0;  5,3;  1,9;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,7;  7,6;  0,0;  0,0; 10,5;  0,6;  0,0;0,0;0,0;0,0;46,5;103,1
  04/1936;  0,0;  0,0;  0,0;  0,0; 13,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;42,0;---;42,0;55,9
  05/1936;  0,0;  1,2;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;2,0;3,2
  06/1936;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  07/1936;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;6,6;6,6
  08/1936;  0,0;  0,0;  0,0;  0,0;  4,0;  0,4;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0; 12,5;0,0;0,0;0,0;12,5;18,7
  09/1936;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,2;  0,0;  0,0; 10,2; 10,2;  0,0;  0,0;  0,0;  6,0;  0,0;  4,5;  0,0;  0,0;  0,0; 26,7;  0,5;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;26,7;63,3
  01/1937; 78,6; 33,4;  3,6; 32,2; 16,0; 13,7;  3,5; 85,4; 13,5; 10,6;  1,7;  0,0; 31,4; 11,7; 27,4;  0,0;  0,0;  0,0;  6,5;  7,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;  8,7;  0,0;0,0;0,0;0,0;85,4;387,0
  02/1937; 11,2;  0,0;  0,0;  5,1;  0,0; 10,2; 16,2;  1,5;  0,0;  0,0;  0,6;  4,7;  0,4;  9,4;  0,9;  0,0;  8,7;  0,0; 15,4;  0,0;  0,0; 39,8;  1,8;  0,9;  0,0;  0,0;  0,0;  1,6;---;---;---;39,8;128,4
  03/1937;  1,7; 27,7;  0,0;  0,4; 14,7;  0,0;  6,2;  0,0;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0; 35,7; 13,0;  0,0;  0,0;  0,8; 10,9;  0,0;  0,0;0,0;0,0;0,0;35,7;120,6
  04/1937;  0,0;  0,0;  0,0; 35,2;  2,7;  4,9;  2,0;  2,6;  2,5;  0,0;  0,0;  0,0;  6,5;  2,6; 16,0;  4,6;  0,0;  0,0;  0,0;  0,0; 18,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;35,2;97,6
  05/1937;  7,1;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,6; 29,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;29,5;38,8
  06/1937; 16,0;  2,1;  0,0;  0,0; 19,2; 32,3; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;32,3;84,2
  07/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  4,5;  0,0;  0,0;  2,1;8,7;0,0;0,0;8,7;15,5
