PREFIXO: ;B6-002
NOME DO POSTO: ;MIRASSOL
MUNICÍPIO: ;MIRASSOL
CURSO D'ÁGUA: ;FUNDAO OU DAS TRES BARRAS,COR DO
LATITUDE: ;20°47'44"
LONGITUDE: ;49°31'20"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1937; 42,0;  2,0;  0,0; 29,4;  7,7;  0,2; 18,7;102,5;  2,0;  8,4;  7,6;  0,0; 30,2;  5,0; 31,4;  0,0;  0,0;  0,0;  0,0; 16,0;  0,0;  0,0;  0,0;  0,0;  5,6;  0,0;  0,0;  0,0;0,0;0,0;0,0;102,5;308,7
  02/1937;  0,0;  0,0; 16,0;  0,0;  0,0;  0,0; 10,0; 13,0;  0,0;  0,0;  9,0;  0,0;  3,0;  3,0;  2,0;  0,0; 16,5; 12,0;  0,0;  0,5;  3,0;  2,0; 55,4; 43,0;  0,0;  0,0; 34,0;  6,8;---;---;---;55,4;229,2
  03/1937;  2,0; 26,0;  0,0;  7,0;  1,0; 18,0; 12,0;  0,0; 12,5;  0,0;  0,0; 12,0; 16,0;  0,0;  5,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,5;  6,5;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;26,0;126,5
  04/1937;  0,0;  0,0;  0,0; 57,0;113,0; 15,0;  0,0;  0,0; 22,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,0; 22,0;  0,0;  0,0;  1,5; 17,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;2,0;---;113,0;264,5
  05/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;6,7;0,0;0,0;12,0;19,7
  06/1937; 44,0;  0,0;  0,0;  0,0; 29,0; 30,0;  1,0;  0,0;  0,0;  0,0; 20,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;44,0;124,6
  07/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,9;  0,0;  0,0;  0,0;  0,0;27,0;0,0;0,0;27,0;33,9
  09/1937;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  10/1937;  1,5;  4,5;  0,0; 11,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0;  0,0;  0,0; 34,5;  1,0;  2,5;  0,0; 22,0; 18,9;  0,0;  0,0;  0,0;  0,0; 70,3;  1,3;  0,0;  0,0;0,0;12,3;3,2;70,3;190,0
  11/1937;  0,0; 19,8; 20,5;  0,0;  0,0; 10,7;  0,0;  0,0; 23,8;  0,0;  8,6;  0,0;  0,0;  0,5; 29,8;  0,3; 36,8;  0,3;  0,0;  0,0;  0,0;  0,0;  9,2;  0,5;  0,0;  7,6;  0,0;  0,0;0,0;0,0;---;36,8;168,4
  12/1937;  0,0;  1,6;  0,0;  2,4;  0,0; 51,6;  6,3; 15,0;  2,7;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0; 21,3; 10,0; 13,5;  0,0;  0,0;  0,0;  0,0;  0,0;  2,4; 17,4;  0,0;  0,0; 70,7;0,0;0,0;3,5;70,7;222,4
  01/1938; 31,4;  0,0;  1,4;  0,0; 75,7;  0,0;  0,0;  0,0;  0,0;  0,0;  3,9;  5,4;  0,0;  0,2;  0,0; 42,5;  0,0;  0,5; 14,7; 33,7;  4,1; 42,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;10,0;16,7;75,7;282,4
  03/1938;  0,0;  0,0;  3,0;  2,3;  4,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,2;  0,3;  3,9;  3,3;  0,0; 11,5;  0,0;  3,0;  2,1;  0,0;  0,0;  0,0;  0,0;1,0;0,0;0,0;11,5;45,9
  09/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;0,0;0,0;---;14,0;20,5
  10/1939; 14,5;  0,0;  0,0;  5,2; 21,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0; 25,0;  0,0;  0,0;  3,0;  0,0;  0,0;0,0;0,0;0,0;25,0;74,0
  01/1940; 56,0;  0,0; 14,0;  0,0;  9,0;  0,0;  0,0; 10,0;  0,0; 46,0; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0; 17,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0;0,0;0,0;11,0;56,0;208,0
  02/1940;  0,0; 18,0; 16,0; 24,5;  0,0;  0,0;  3,8;  0,0;  4,0;  0,0;  0,0; 26,5; 24,0;  0,0;  4,5;  0,0;  4,0;  0,0;  3,5; 37,5;  4,0; 26,0;  0,0; 15,0;  0,0;  0,0;  0,0;  0,0;0,0;---;---;37,5;211,3
  03/1940;  0,0; 19,0;  0,0;  0,0;  5,3;  0,0; 54,9; 31,2;  1,9; 18,0; 14,9;  0,0;  0,0; 38,9;  0,0;  4,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;54,9;188,9
