PREFIXO: ;B6-003
NOME DO POSTO: ;CASTORES
MUNICÍPIO: ;ONDA VERDE
CURSO D'ÁGUA: ;GOTINHA,COR DA/CONTINHA,COR DA
LATITUDE: ;20°37'47"
LONGITUDE: ;49°18'27"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  09/1937;---;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,1;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,2;0,0;---;---;---
  10/1937; 16,1;  0,8;  2,5;  6,5;  5,5;  0,1;  0,0;  0,0; 26,0;  0,0;  0,6;  0,0;  0,0;  0,0; 27,5;  0,0;  4,8;  0,0;  1,8; 12,0;  0,0;  0,0;  0,0;  0,0; 19,0;  1,5;  0,0;  0,0;1,0;16,5;23,0;27,5;165,2
  11/1937;  0,0;  4,8; 34,0;  0,0;  0,0;  9,6;  0,0;  3,4; 22,3;  0,0;  0,0;  6,7;  0,9;  0,0; 12,5;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0; 10,4;  0,0;  0,0;  0,0;  3,7;  0,0;0,0;0,0;---;34,0;120,8
  12/1937;  0,0;  0,0;  1,0;  4,5;  2,0; 21,9;  0,3; 58,0;  0,0; 14,7; 22,5;  0,0;  0,0;  0,0;  1,3; 19,4;  6,9;  9,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;  4,0;  0,0;  7,5;2,1;20,5;7,9;58,0;219,5
  01/1938;  0,0;  0,0;  0,0;  0,0; 52,8;  0,0;  0,0;  0,0;  0,0;  0,0;  3,2; 21,4;  5,6;  0,0; 14,9;  8,6;  0,4;  1,2;  3,3; 10,5; 12,5; 20,3;  0,0;  0,0;  1,2;  0,0;  0,0;  0,0;0,0;0,0;15,8;52,8;171,7
  02/1938;  0,0;  0,0;  0,0;  0,0;  0,0; 12,3; 30,5;  0,4; 13,3;  0,0;  0,0;  0,0;  1,5; 23,6;  0,0;  0,0;  0,0; 23,5; 16,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,6;  0,0;  0,0;---;---;---;30,5;127,1
  03/1938;  3,2;  0,0;  0,0; 11,8; 35,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  9,8;  0,0;  0,0;  7,8;  0,0;  0,0;  0,0;  1,5;  1,1;  0,0;  0,0;0,0;0,0;0,0;35,1;71,8
  04/1938;  3,5;  0,0;  2,3;  0,0;  2,1; 27,5;  0,0; 12,5;  0,0;  8,6;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;1,2;---;27,5;63,7
  05/1938;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0;  8,5;  0,0;  0,0; 64,5;  0,0;  2,2;  0,0;  0,0;  0,0;  3,5;  0,0;  0,0;0,0;0,0;1,0;64,5;88,7
  06/1938;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  07/1938;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1938;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0;  1,5;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;1,5;4,5
  09/1938;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  4,3;  0,0; 12,1;  0,0;  0,1;  0,2;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;12,1;18,0
  10/1938;  0,0; 15,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,6; 28,3;  1,2;  0,0;  0,0; 17,3;  0,0;  0,2;  6,4;  0,0;  0,0; 17,8; 16,9;  0,1;  0,0; 14,7;  0,0;0,0;0,0;0,0;28,3;123,4
