PREFIXO: ;C6-030
NOME DO POSTO: ;AGUAS DE IBIRA
MUNICÍPIO: ;IBIRA
CURSO D'ÁGUA: ;CUBATAO,RIB
LATITUDE: ;21°05'00"
LONGITUDE: ;49°14'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0; 17,5; 17,2; 19,2;  0,0;  0,0; 21,3; 23,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,0;0,0;0,0;0,0;23,9;124,1
  07/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2;0,0;0,0;0,0;2,5;3,7
  08/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 22,0;  0,0;0,0;0,0;0,0;22,0;22,0
  09/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0;  0,0;  0,0;  0,0;0,0;0,0;---;18,0;19,0
  10/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6; 30,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;18,0;0,0;0,0;31,0;80,5
  11/1940;  0,0;  0,0;  0,0;  0,0; 18,0;  0,0; 48,1; 16,0; 32,0; 20,4;  0,0; 41,0; 50,4; 48,5; 41,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,5;  0,0; 10,0; 25,0;30,0;0,0;---;50,4;402,9
  01/1941;  7,0;  0,0;  0,0; 35,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;35,0;59,0
  04/1941; 16,5;  8,5;  0,0;  0,0; 50,5;  0,0;  0,0; 80,8; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;80,8;177,0
  06/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  07/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;12,0;14,0
  08/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;8,0;8,0
  09/1941;  0,0; 26,0; 11,0;  0,0;  0,0; 16,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0; 40,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0; 35,0;  0,0;  0,0;0,0;0,0;---;40,0;146,0
  10/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 42,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;42,0;42,0
