PREFIXO: ;C6-031
NOME DO POSTO: ;NOVA ITAPIREMA
MUNICÍPIO: ;NOVA ALIANCA
CURSO D'ÁGUA: ;FARTURA,RIB DA
LATITUDE: ;21°05'00"
LONGITUDE: ;49°33'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  06/1954;  0,0;  0,0;  0,0;  0,0;  0,0; 61,6; 11,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  2,1;  0,0;  0,0;  2,9;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;61,6;79,0
  07/1954;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;1,0;1,0
  08/1954;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1954;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,1;  0,5;  0,0;  0,0;  0,0;  0,0;  1,1; 15,6;0,0;0,0;---;15,6;18,3
  10/1954;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,5;  3,8;  0,0; 17,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0;0,0;16,5;0,0;17,0;64,8
  11/1954;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0; 20,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 23,0;  0,0;  0,0;  0,0;  0,0;0,5;6,1;---;23,0;56,9
  12/1954;  0,0;  0,0;  4,8; 17,2;  0,0;  0,0;  0,0;  4,5;  0,0;  0,0; 21,4;  0,0; 39,0;  0,0;  0,0;  0,3;  1,0;  0,0;  9,7;  0,0;  0,0; 30,6;  4,5;  0,0;  0,0;  0,0;  0,0; 14,0;0,0;0,0;0,0;39,0;147,0
  01/1955;  3,0;  0,0; 24,6;  0,0;  2,5;  0,0;  0,0; 20,0;  0,0;  0,0; 34,2;  0,0;  0,0; 50,5;  3,0; 25,5; 19,0; 20,6;  1,0;  0,0;  0,0;  0,0;  2,5;  5,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;50,5;211,4
  02/1955;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  0,0;  0,0;  1,4;  0,0;  0,0;  0,0;  9,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5; 22,0;  2,0;  0,0;  0,0;  0,0; 21,6; 27,0;---;---;---;27,0;93,0
  03/1955; 10,3;  0,0; 23,6; 14,7;  0,0;  0,0;  0,0; 18,6;  9,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,5;  0,0;  0,0; 22,0; 26,4;4,0;0,0;0,0;26,4;150,1
