PREFIXO: ;C6-066
NOME DO POSTO: ;POTIRENDABA
MUNICÍPIO: ;POTIRENDABA
CURSO D'ÁGUA: ;CUBATAO,RIB
LATITUDE: ;21°02'37"
LONGITUDE: ;49°22'29"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1950;---;---;---;  5,6; 12,1;  1,6;  0,1; 22,6;  0,0;  0,0;  2,1; 47,6; 11,2;  0,3;  0,0;  0,0; 20,7;  9,4; 29,3; 16,3; 35,5;  0,0; 14,7;  1,5; 66,0; 20,6; 14,2;  7,0;6,4;1,0;0,0;---;---
  02/1950;  0,3;  0,4;  0,0; 33,4;  0,0;  0,6; 16,7; 67,2;  1,6; 50,7;  2,9;  0,0; 13,1;  5,9; 15,9;  0,0;  0,0;  0,0; 26,4;  0,0; 22,5;  0,0; 12,7;  1,3;  0,0;  0,0;  6,0;  0,0;---;---;---;67,2;277,6
  03/1950;  0,0;  0,0;  0,0;  1,2;  0,3;  2,2;  0,0; 17,4;  2,0;  0,0;  0,0;  2,1;  2,9;  7,4; 19,1;  1,2; 48,7;  0,0;  8,8;  7,8;  0,0;  0,0;  0,0; 10,9;  0,0;  0,0;  0,2;  0,0;0,0;0,8;0,1;48,7;133,1
  04/1950;  0,0;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,7;  1,2;  0,0;  0,0;  3,4; 22,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,3;0,0;0,0;---;22,7;35,9
  05/1950;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,5;0,6
  06/1950;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;5,1;5,7
  07/1950; 16,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;16,9;16,9
  08/1950;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1950;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  10/1950;  0,0;  0,0;  0,0;  0,0; 89,0;  0,0;  0,0;  0,0;  0,0; 15,5;  5,5; 27,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,1;  3,2;  0,0;  0,0;  0,0;  2,8;  0,0;  0,0;  3,0;32,8;5,0;0,0;89,0;204,4
