PREFIXO: ;D2-076
NOME DO POSTO: ;CAPITUVA
MUNICÍPIO: ;GUARATINGUETA
CURSO D'ÁGUA: ;GUARATINGUETA,RIB
LATITUDE: ;22°45'00"
LONGITUDE: ;45°14'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  09/1957;---;---;---;---;  3,9;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0; 14,1;  2,1;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  9,2;  0,0;  0,8; 15,3;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;---;---
  10/1957;  0,0;  0,0;  0,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  6,9;  7,6;  7,9;  0,0;  0,0;  0,0; 15,1;43,4;0,0;0,0;43,4;84,4
  11/1957;  0,0;  0,0;  0,0; 12,3;  0,0;  0,0;  0,0; 31,3; 22,5; 17,6;  0,0;  0,0;  5,6; 20,8; 11,3;  0,8;  0,9; 22,3;  8,9;  0,7;  5,3;  9,9;  0,0;  0,0;  0,0; 25,3;  0,0;  0,0;0,0;0,0;---;31,3;195,5
  12/1957;  0,0;  0,0; 45,6;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;109,8;---;---
  01/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,1;  0,0; 20,9;  0,0;  0,0;  0,7;  0,0;  6,0; 11,0;  8,1; 54,2; 68,0;  7,2;  1,6;  6,9;  9,0;  7,7; 15,5;37,0;7,4;0,0;68,0;261,5
  02/1958;  0,0; 25,1;  0,0;  0,2; 30,6;  0,0; 24,3; 64,1;  4,8;  1,1;  0,0;  0,0;  1,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,0;  0,0;  0,2;  0,0;  0,0;  7,2;  4,2; 20,0; 10,5;---;---;---;64,1;210,5
  03/1958;  5,4; 82,9; 17,8;  1,0; 27,0;  5,1;  1,8;  7,9;  1,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,5;  5,3; 46,0; 52,2;  0,0;  0,0; 23,2;  1,5;  0,0; 24,8;  0,0;  1,0;  0,0;0,0;0,0;0,0;82,9;308,6
  04/1958;  2,9;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,4;  0,0;  0,0;  0,0;  8,1; 13,1;  0,0;  0,0;  0,2; 22,8; 11,6;  0,0;  6,2;  1,5;  8,9;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;22,8;92,7
  05/1958;  0,0;  0,0;  5,7; 13,0;  0,9; 21,5;  0,7;  0,0;  0,4;  0,0;  0,0;  0,2;  2,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,8; 10,7;  1,6; 10,0;  1,0;  0,0;  4,3;0,0;0,0;0,0;21,5;75,5
  06/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3; 48,3;  0,0;  0,0;  5,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;48,3;57,1
  07/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,1;  1,0;  0,0;  0,0;  0,9;  0,0; 31,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;31,0;36,0
  08/1958;  0,0;  0,0;  0,0;  0,0; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;4,8;2,2;10,5;17,5
  09/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,7; 24,5; 23,0;  0,0;  0,0; 13,5; 17,2;  4,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,2;  0,0;  0,0;  0,0;0,0;0,0;---;24,5;99,2
  10/1958;  0,0;  0,0;  0,2; 24,8;  0,0;  0,0; 24,5;  1,5; 27,7; 22,0;  3,8;  1,9;  1,1;  0,0;  0,0;  0,0;  0,1;  9,0; 11,2;  0,0;  0,0;  0,0;  0,0;  1,3;  0,0;  2,1; 12,7; 29,7;15,5;7,7;12,3;29,7;209,1
  11/1958;  3,1;  9,9;  0,0;  0,0;  0,0;  2,1;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2; 15,0;  0,6;  0,0;  0,0;  0,0; 22,9;  5,5;  0,0;  0,0;  0,0;  0,0; 14,5;  6,5; 15,4;  5,2;  0,0;0,0;0,0;---;22,9;101,9
  12/1958;  1,1;  0,0;  0,0;  0,0;  0,0;  0,0;  2,7;  0,0;  4,6;  0,7;  5,1; 67,7;  3,0;  0,0;  0,0;  8,1; 11,3;106,0;  4,0;  1,5; 14,5;  2,2;  7,6;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;4,5;0,0;106,0;244,6
