PREFIXO: ;D2-077
NOME DO POSTO: ;FAZENDA MONTE VERDE
MUNICÍPIO: ;GUARATINGUETA
CURSO D'ÁGUA: ;GUARATINGUETA,RIB
LATITUDE: ;22°43'00"
LONGITUDE: ;45°21'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1957;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;  0,0;0,0;9,2;22,3;---;---
  09/1957;  0,0; 31,3; 36,3;  9,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,5;  0,0;  0,0;  0,0;  3,6;  0,0;  0,0;  0,0;  0,0; 10,3;  0,0; 28,2;  0,3;  0,7;  0,9;  0,0;  0,0;0,0;0,0;---;36,3;133,9
  10/1957;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7; 14,0;  0,0;  0,0;  0,0;  0,0;  2,6;  0,6;  0,0;  0,0;  1,2;  0,0;  6,2; 10,0; 16,4;42,5;28,8;0,0;42,5;123,0
  11/1957;  0,0;  0,9;  2,1; 12,2;  0,3;  0,0; 16,1; 30,3; 15,5;  0,0;  0,0;  0,0;  0,0; 33,8;  8,0;  5,2;  0,0; 10,7;  2,6;  3,2;  0,3; 56,5;  5,3; 32,2;  0,7;  0,0;  0,0;  0,0;0,0;5,4;---;56,5;241,3
  01/1958;  3,5;  0,0;  0,0;  0,0;  0,0; 21,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0;  8,2;  0,0; 16,9;  2,0; 60,8; 70,9; 51,9; 12,5; 18,3;  6,9; 23,7;  4,8; 18,2;30,0;0,8;0,3;70,9;358,9
  02/1958;  0,0; 40,2;  0,0;  5,1; 15,9; 10,1; 20,0; 28,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,2;  0,0;  0,0;  8,0;  6,0;  0,0;  0,0;  0,0;  0,0;---;---;---;40,2;145,5
  03/1958;  0,0;  0,0; 30,0; 26,0; 32,0; 16,0;  8,0; 10,2;  6,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  9,2; 50,2; 42,1;  8,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;5,1;8,2;50,2;252,2
  04/1958;  7,0;  9,5;  0,0;  0,0;  0,0;  0,0; 16,2;  0,0;  0,0;  4,2;  0,0;  0,0;  0,0; 41,5;  7,1;  0,0;  0,0;  0,0; 13,2;  7,4;  0,0;  2,5;  9,2;  1,5;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;41,5;119,3
  05/1958;  0,0;  0,0; 12,6; 20,4;  3,6;  6,2;  9,2;  3,1;  5,7;  1,5;  0,0;  0,0;  0,0;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,9; 12,9;  4,3;  5,9;  2,0;  0,0;  7,0;0,0;0,0;0,0;20,4;104,8
  06/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0; 70,7;  0,0;  0,3; 10,0; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;70,7;93,5
