PREFIXO: ;D2-078
NOME DO POSTO: ;REPRESA
MUNICÍPIO: ;PIQUETE
CURSO D'ÁGUA: ;PIQUETE,RIB
LATITUDE: ;22°36'00"
LONGITUDE: ;45°13'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;4,2;2,1;0,0;4,2;8,8
  08/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,8;  0,0;0,0;0,0;0,0;16,8;16,8
  09/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,1;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;3,1;4,1
  10/1961;  1,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,2;  0,0;  0,0;  0,0; 29,1;  2,1; 13,7;  2,4;  0,0; 14,2;  0,0;  0,0;  9,7;  0,0;  7,2;  2,7;  0,2;0,0;1,4;0,0;29,1;89,1
  11/1961;  0,0;  0,0;  3,8;  0,0;  0,0;  0,0; 25,3;  0,3;  0,0;  0,0;  0,0; 25,9;  8,4;  1,9; 20,7;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,3;  4,4;  2,4; 35,9;  0,0;  2,4;3,6;0,0;---;35,9;142,5
  12/1961;  0,0; 21,0; 19,8; 23,3;  4,6; 27,5; 13,1; 11,0;  7,2; 14,1;  0,0; 17,2; 17,5;  3,2;  3,2;  0,0;  3,4;  7,3;  2,4;  0,0;  0,0;  6,3;  0,0;  0,0;  0,0; 15,3; 15,2;  5,8;1,1;6,8;5,8;27,5;252,1
  01/1962;  3,1;  0,0;  1,1; 35,3;  0,0;  0,0;  0,0; 29,7;  5,7;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0; 19,8;  1,6; 31,7; 21,9; 49,5; 35,5;  9,1;  2,1;  2,1;  0,0; 20,7; 25,5;  0,7;2,5;4,7;0,0;49,5;302,5
  02/1962;  1,6;  5,4;  2,0; 20,7; 28,2; 28,0; 29,1;  3,0;  3,0;  6,0;  2,0; 32,7;  1,1;  0,0;  9,0;  5,3; 32,7;  0,0;  0,4;  2,2;  2,0; 25,8;  0,8;  4,4; 25,2;  0,0;  0,4;  0,3;---;---;---;32,7;271,3
  03/1962;  0,0;  0,4; 59,8;  3,0;  0,0; 52,0;  0,2;  0,0;  0,0;  0,0;  5,7;  9,9; 32,7; 49,7; 17,3;  0,1;  0,5;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  6,0; 32,7;  0,0;  0,0;  0,0;0,0;0,0;0,0;59,8;274,0
  04/1962;  0,0; 14,0;  0,0; 49,5; 10,3;  0,0;  0,0;  0,0;  0,0;  2,0;  7,0;  0,4;  0,0;  0,4;  0,0;  0,0;  0,4;  2,0;  9,9;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,6;6,4;---;49,5;103,2
