PREFIXO: ;D9-005
NOME DO POSTO: ;FAZENDA GUANA
MUNICÍPIO: ;TEODORO SAMPAIO
CURSO D'ÁGUA: ;PARANA/PRATA/R,(DA)
LATITUDE: ;22°19'00"
LONGITUDE: ;52°39'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 24,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,6;  0,0;0,0;0,0;10,3;24,0;45,9
  02/1970; 34,7;  0,0;  0,0;  0,0;  0,3;  8,5; 12,4; 45,8;  6,5;  1,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,8;  0,0;  0,0; 22,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;45,8;134,0
  03/1970;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;101,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;101,5;114,0
  04/1970;  0,0;  0,0;  0,0; 20,0; 15,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;3,5;0,0;---;20,0;38,5
  05/1970;  5,5;  0,0;  0,0;  0,0;  0,0; 27,0; 36,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;36,1;82,6
  07/1970;  0,8; 15,5;  0,0;  0,0;  0,0;  0,0;  4,3;  0,0;  0,0;  2,7;  7,0; 19,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;19,3;49,6
  08/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 38,3; 54,1;  0,0;0,0;0,0;0,0;54,1;92,4
  09/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,7;  0,0;  0,0;  0,0;  0,0;  0,0; 26,2;  0,0;  0,0; 16,2;  0,0;  0,0;  0,0; 15,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;3,3;0,0;---;26,2;92,6
  10/1970; 69,1; 18,6;  0,0;  1,3;  0,0;  0,0;  0,0;  0,0; 14,2;  0,0;  0,0;  0,0; 36,1;  0,0;  0,0;  0,0;  0,0;  1,2;  0,0; 25,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;10,3;0,0;0,0;69,1;176,5
  11/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,7;  0,0;  0,0;  0,0;  3,1;  0,0;  0,0;  0,0;  7,7;  0,0;  0,0;  0,0;  0,0; 68,4; 24,7;11,3;0,0;---;68,4;117,9
  12/1970; 33,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6; 10,5; 27,0;  9,4; 35,4;  0,0; 10,4; 13,4;  0,0;  3,3;  0,0;  0,0;  4,6; 15,3;  0,0;  5,1;  0,0; 40,9;  0,0;0,0;0,0;11,8;40,9;221,3
  01/1971;  0,0; 14,5; 12,8;  3,4; 25,4;  0,0; 56,2; 17,5;  0,0;  8,8;  0,0;  0,0;  0,0;  0,0; 55,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,7; 11,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;56,2;214,0
  02/1971;  8,9;  1,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  7,0;  6,8;  4,2;  1,1;  4,0;  0,0;  6,5;  0,0;  0,0;  0,0;  0,0;  9,5; 15,3;  0,0;  0,0; 20,5;  1,2;  0,0;  0,0;---;---;---;20,5;87,8
  03/1971;  0,0;  0,0;  0,0;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0; 78,7;  3,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0; 21,5;  0,0;  0,0;  0,0; 10,5; 14,7;  7,5;0,0;0,6;0,0;78,7;159,9
  04/1971;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,4;  3,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7; 10,8;  0,0;  0,0;  0,0;  0,0; 11,5;  1,2; 15,6;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;15,6;51,1
  05/1971;  0,0; 17,8; 61,4;  5,4;  4,1;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,2;  3,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 41,1;  0,0;  0,0;0,0;0,0;0,0;61,4;143,3
  06/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  6,5;  0,0;  0,0;  0,0;  0,0;  0,0;  8,8;  5,0;  0,8; 21,1; 65,6; 30,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;65,6;138,7
  07/1971;  1,9;  2,4; 16,1; 19,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,3; 12,4;0,2;27,3;0,0;27,3;83,9
  08/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  3,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3;  0,0;0,0;0,0;0,0;3,7;7,1
  09/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,4;  4,5;  0,0;  0,0;  0,1;  5,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,0; 36,3;  0,0; 43,3;  0,0;0,0;0,0;---;43,3;130,5
  10/1971; 14,2;  0,0;  0,0;  9,3;  5,8;  0,0; 14,0;  2,0; 17,1;  0,0;  5,9; 34,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;34,1;106,4
  11/1971;  0,0; 25,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;0,0;5,0;---;25,9;31,3
  12/1971;  8,4;  0,0;  1,5; 48,7;  0,3;  0,0;  0,0;  7,8;  0,0;  0,0;  0,0;  0,0;  0,0;  7,5; 19,5;  0,0;  0,0;  0,0; 82,7; 18,6;  0,0;  0,0; 23,1;  2,2;  0,0;  0,0;  0,0;  0,0;3,0;15,5;0,0;82,7;238,8
  01/1972;  0,0;  0,0;  2,3;  0,0;  0,0;  8,5;  0,0;  2,4;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0; 34,6; 17,2; 29,1; 29,7;  0,0;  0,0;  0,0;  0,7;28,7;0,1;0,0;34,6;156,1
  02/1972;  3,1; 23,3;  0,3;  3,4;  3,2;  0,1;  0,0; 33,9;  0,0;  0,0; 11,6; 33,7; 10,5; 11,8; 32,0; 20,7;  1,4;  5,9;  4,5;  6,1; 21,7;  2,4;  0,0; 23,6;  0,0;  0,0;  0,0;  0,0;2,0;---;---;33,9;255,2
  03/1972;  0,0;  0,0;  0,0;  0,0;  1,4;  4,8; 14,4;  0,0;  0,0; 22,6;  2,2;  0,1;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,6;  0,0;  0,0;0,0;0,2;0,0;22,6;59,6
  04/1972;  0,0;  0,0; 14,9;  9,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  7,8;  0,0;0,0;0,0;---;20,0;52,5
  05/1972;  0,0;  0,0;  0,0;  0,0;  0,0; 11,8;  8,3; 39,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 36,1; 16,2; 17,2;  0,0;  0,0;  0,0;0,0;0,0;0,0;39,4;129,0
  06/1972;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 29,8;  0,2;  0,0;  0,3;  0,0;  0,1;  0,0;  0,0;  0,0;  0,2;  0,0;0,0;0,0;---;29,8;30,6
  07/1972;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,8; 30,9;  0,0;  0,2;  0,0; 11,2;  0,0;  0,2; 35,7; 23,9;  1,3;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0; 22,7;  0,0;0,0;0,0;0,0;35,7;128,3
  08/1972;  0,0;  0,0;  0,0; 23,7;  8,1;  2,6;  0,4;  0,0;  0,0;  0,0;  0,0;  6,8; 16,6;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,2;  2,8;  1,2;  0,0; 27,9;  3,5;3,8;21,5;0,0;27,9;130,3
  09/1972;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,2;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0; 14,3;  0,0;  0,0;  0,8;  0,0;  5,9;  0,1;  0,3;  0,0;  0,0;  8,2;23,2;0,0;---;23,2;69,1
  10/1972;  1,4; 78,2; 18,4; 73,3;  2,4;  0,0;  0,0;  0,0;  0,0; 43,7; 44,8;  0,0;  0,0;  0,0; 23,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,2;36,3;0,2;0,1;78,2;329,1
  11/1972;  0,0;  6,8;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0; 17,4; 17,1; 43,4; 16,8;  0,0;  0,0;  6,7; 28,5;  0,7;  3,2;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0; 18,7;  4,5;  0,0;  0,0;0,0;0,0;---;43,4;165,9
  12/1972; 21,9; 38,1;  8,3;  0,3;  0,6;  0,0;  0,0;  0,0; 19,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,3;  3,1;  1,9;  0,0;  0,0;  0,0;  0,0;1,4;13,4;0,2;38,1;111,3
  01/1973;  3,5;  0,8; 33,1;  9,1; 20,1;  0,0;  6,3;  0,0;  0,5; 59,1; 15,4;  0,0;  1,1; 22,4; 16,7;  0,0;  0,0;  0,0;  0,0;  0,6; 59,8; 16,6; 20,1;  8,3;  1,5; 15,7;  1,1;  0,0;0,0;0,0;0,0;59,8;311,8
  02/1973;  0,0;  0,0;  0,0;  2,3; 17,1; 10,9;  0,7;  0,0; 12,6;  0,0;  1,2;  0,0;  3,5;  9,1;  5,1;  0,9;  0,0; 50,7;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,7;  0,0;---;---;---;50,7;133,3
  03/1973;  0,0;  0,0;  7,1;  0,0;  0,0;  0,0;  0,0;  5,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,2;  0,0;  7,2;  5,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;7,2;29,6
