PREFIXO: ;D9-006
NOME DO POSTO: ;CUIABA PAULISTA
MUNICÍPIO: ;MIRANTE DO PARANAPANEMA
CURSO D'ÁGUA: ;PARANAPANEMA,R
LATITUDE: ;22°18'00"
LONGITUDE: ;52°05'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,9; 17,0;  5,0;  3,0;  0,0;  0,0;  0,0; 10,0;  5,0;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;12,0;2,0;---;17,0;60,7
  10/1970;  0,0;  0,0; 39,1;  6,9;  0,0;  0,0;  0,0;  0,0; 31,6;  0,0;  0,0;  0,0; 24,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;39,1;101,7
  11/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0; 22,4;1,0;0,0;---;22,4;33,4
  12/1970; 11,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,5; 32,5;  0,0; 10,2; 12,2;  0,0;  0,0;  0,0;  0,0;  0,0; 13,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;7,5;0,0;33,5;120,4
  01/1971;  0,0;  8,6; 15,0;  6,9; 21,0;  0,0;  9,6;  4,2;  0,0; 14,7;  0,0;  0,0;  0,0;  0,0;  3,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;0,0;0,0;0,0;21,0;84,5
  02/1971;  1,3;  0,7;  0,0;  4,4;  0,0;  0,0;  0,0;  0,2; 37,0;  5,0;  1,9; 11,4;  0,0; 60,3;  0,0;  0,0;  0,0;  0,0;  3,6;  0,0; 66,3;  1,8;  0,0;  1,5;  7,5; 38,5;  0,0;  2,0;---;---;---;66,3;243,4
  03/1971;  0,0;  0,0;  0,0;  0,3; 16,9;  0,0;  0,0;  0,0;  0,0;  0,0; 42,5; 18,1;  0,0;  0,0; 15,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,3;  0,0;  0,0;  3,1; 31,5;  0,0;  0,0;0,0;0,0;0,0;42,5;147,8
  04/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,8;  0,0;  0,0;  0,0;  9,0; 15,7; 14,8;  1,3;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;15,7;49,3
  05/1971;  0,0;  0,3; 70,8; 11,8;  3,5;  3,1;  0,1;  6,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,7;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,8;  1,3;  0,0;0,0;0,0;0,0;70,8;132,4
  06/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,3;  0,0;  0,0;  0,0;  0,7;  0,0; 10,2; 20,4;  0,2; 20,5; 57,0; 52,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;57,0;165,6
  07/1971;  9,2;  4,1;  2,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,7;  7,8;7,2;32,6;0,0;32,6;78,9
  08/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,2;  0,0;  3,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;0,0;0,0;0,0;3,9;5,3
  09/1971;  0,0;  0,0;  0,0;  0,0; 27,4;  6,0; 10,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 22,2; 41,3;  0,0; 36,6;  0,0;0,0;0,0;---;41,3;143,8
  10/1971; 12,2;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0;  0,0; 50,6;  0,0; 11,6; 16,9;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;50,6;121,3
  11/1971;  0,0;  0,5;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;0,2;0,0;---;0,6;1,7
  12/1971;  0,2; 13,0;  0,0; 55,1;  0,0;  0,0;  0,0;  5,0;  4,3;  0,0;  0,0;  0,0; 25,2; 10,3;  0,0;  0,0;  0,0;  0,0; 18,1;  0,0;  0,0;  0,0;  0,0;  2,3;  0,2;  0,0;  0,0;  8,5;2,4;10,0;0,0;55,1;154,6
  01/1972;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  2,6;  0,0;  0,0;  2,3;  0,0;  8,9;  2,0;  0,0;  0,1;  0,0;  0,0;  0,0;  7,0;  0,0; 19,4;  4,2;  4,0; 14,5;  0,0;  0,0;  2,3;  1,7;10,3;12,5;4,0;19,4;96,0
  02/1972;  0,0; 10,7;  0,0;  0,0; 29,0; 17,3;  0,0;  7,7;  0,0;  0,0; 10,0; 26,3; 28,3; 19,3; 12,0; 28,5;  2,0;  1,4;  2,6; 34,0;  7,4; 24,3;  1,0;  0,0;  0,0;  0,8;  0,6;  0,0;0,0;---;---;34,0;263,2
  03/1972;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  2,4;  4,9; 16,1;  0,6; 12,4;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,0;  4,1;  3,7;0,0;0,0;0,0;28,0;72,7
  04/1972;  0,0; 13,7;  4,2;  4,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2; 10,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,5;  0,0;0,0;0,0;---;13,7;38,7
  05/1972;  0,0;  0,0;  0,0;  0,0;  0,0;  7,4;  6,7; 47,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 24,9; 26,6; 17,3;  0,4;  0,2;  0,0;0,0;0,0;0,0;47,1;130,6
  06/1972;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,4;  0,6;  0,2;  0,3;  0,2;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;8,4;9,8
  07/1972;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,2; 29,0;  0,3;  0,2;  0,1; 13,2; 18,0;  8,4; 26,3; 25,1;  0,3;  0,1;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,5; 21,1;  0,1;  0,0;0,0;0,0;0,0;29,0;145,3
  08/1972;  0,0;  0,0;  0,0; 26,4;  4,8;  5,7;  0,1;  0,0;  0,0;  3,2;  4,1;  5,2; 15,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,1;  2,3;  1,5;  0,0; 13,1;  0,9;11,1;0,2;0,0;26,4;102,0
  09/1972;  0,1;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,4;  0,3;  0,1;  0,0;  0,0;  0,0;  0,2; 13,9;  0,3;  0,0;  0,0;  0,1;  9,4;  0,5;  0,4;  0,0;  3,1;  5,2;19,4;8,5;---;19,4;69,1
  10/1972;  8,2; 49,4; 29,8; 73,1;  3,2;  0,0;  0,0;  0,0;  0,0; 50,9; 30,6;  0,3;  0,0;  0,0; 22,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,9;33,7;0,2;0,0;73,1;314,4
  11/1972;  0,0;  7,2;  0,4;  0,0;  0,0;  0,0;  0,0;  1,7; 23,2; 57,4;  8,3;  0,0; 33,4;  0,5; 24,6; 35,1;  0,9;  4,8;  5,2;  0,0;  0,0;  0,0;  0,0;  0,0; 22,3;  5,9;  0,6;  0,0;0,0;0,0;---;57,4;231,5
  12/1972;  0,9; 53,2; 22,6;  0,4;  0,2;  0,1;  0,0;  0,0; 10,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  8,9;  6,2;  9,4;  0,0;  0,0;  0,0;  0,0;0,8;23,6;24,3;53,2;161,4
  01/1973; 12,3;  0,0;  0,0; 27,5;  1,1;  6,3;  0,0;  0,0;  0,0;  0,5;  1,9;  0,0;  1,8; 16,2; 21,6; 11,4;  0,0;  0,0;  0,0;  0,0; 22,5; 34,2; 26,4;  6,0;  9,9;  4,1;  9,8;  0,0;0,0;0,0;0,0;34,2;213,5
  02/1973;  0,0;  0,0;  0,0;  0,0;  0,3;  0,2;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,7; 14,4;  1,1;  5,7; 12,5; 11,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  0,4;---;---;---;28,7;75,5
  03/1973;  0,0;  0,0;  7,6; 29,8;  0,4;  0,0;  0,0;  0,1; 13,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  2,4;  8,8;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;29,8;63,1
  04/1973;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;  0,0; 14,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;  0,0; 15,3;  0,4;  0,0;  0,0;  0,7;  0,2;  0,0;  0,0;0,0;0,0;---;15,3;35,6
