PREFIXO: ;D9-014
NOME DO POSTO: ;FAZENDA ROSANELA
MUNICÍPIO: ;TEODORO SAMPAIO
CURSO D'ÁGUA: ;PARANAPANEMA,R
LATITUDE: ;22°34'00"
LONGITUDE: ;52°25'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  09/1969;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;5,7;44,1;---;44,1;49,8
  10/1969; 44,3;  0,0;  7,6; 46,8;  7,0; 12,2; 21,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 29,2;  0,0;  5,8; 23,8;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;36,0;35,0;46,8;269,5
  11/1969;  0,0;  0,0; 16,7;  0,0;  0,0;  0,0;  0,0;  0,0; 12,1;  0,0;  0,0;  0,0; 10,2;  8,1;  0,0;  0,0;  0,0;  0,0; 21,6;  0,0;  0,0;  7,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;11,4;---;21,6;87,4
  12/1969;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,5;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;45,3;45,3;60,8
  01/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,3;  0,0;  0,0;  0,0;  0,0;  0,0; 15,1;  4,7;  0,0;  0,0;  0,0;  0,0; 22,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;41,2;0,0;41,2;99,8
  02/1970; 21,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  9,4;  6,2;  0,0;  0,0;  0,0;  0,0;  0,0;  9,2;  5,1;  6,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;21,2;65,4
  03/1970;  0,0;  0,0;  0,0;  1,3;  0,0;  0,0; 10,1;  9,5; 13,0;  0,8;  0,0;  0,0;  0,0;  8,5;  0,0; 37,0;  0,0; 40,3;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;40,3;120,9
  04/1970;  0,0; 22,9;  0,0; 52,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;52,8;75,7
  05/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  1,7; 24,5;  1,9;  2,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;24,5;30,4
  06/1970;  0,0;  0,0;  0,0; 10,4;  0,0;  0,0;  0,0; 32,1; 53,6;  0,0;  0,0;  0,0;  0,0;  0,0; 35,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,1;  0,0;  0,0;  0,0;  3,7;  0,0;0,0;0,0;---;53,6;167,9
  07/1970;  0,0;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,1;  7,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;33,1;45,4
  08/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,0; 29,8; 31,4;  7,1;14,8;0,0;0,0;31,4;114,1
  09/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 19,5;  0,0;  0,0; 17,4; 23,4; 19,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;34,1;---;34,1;121,1
  10/1970; 27,3; 19,8; 13,7; 19,9;  0,0;  0,0;  0,0; 39,7;  0,0;  0,0;  0,0;  0,0; 41,1;  0,0;  0,0;  0,0; 29,7; 31,3;  0,0;  0,0;  0,0;  0,0;  0,0;  5,1;  0,0;  0,0;  7,1;  0,0;0,0;0,0;0,0;41,1;234,7
  11/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,1;  0,0;  0,0;  0,0;  0,0;  0,0;  6,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,4; 15,7;7,4;11,2;---;16,4;61,0
  12/1970;  0,0;  0,0;  0,0;  0,0;  6,1;  0,0;  0,0;  0,0;  0,0;  0,0; 10,4; 15,1;  0,0;  9,6;  0,0; 53,1;  0,0;  0,0;  0,0; 13,8;  0,0; 10,1;  0,0; 11,1;  0,0;  0,0;  0,0; 12,0;0,0;7,5;10,8;53,1;159,6
  01/1971; 13,4; 27,6; 24,7; 26,5;  9,4;  8,1; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;  0,0;  0,0;  0,0; 63,0;  0,0;  0,0;  0,0;  0,0;  7,1;  0,0;0,0;0,0;0,0;63,0;210,0
  02/1971;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,1; 11,4;  9,6;  8,7; 21,2;  0,0;  0,0;  0,0;  0,0;  0,0;  7,3; 10,1; 17,4; 13,4; 16,5;  9,3;  0,0;  0,0; 10,1; 21,3; 14,5;  9,1;---;---;---;21,3;187,0
