PREFIXO: ;G4-003
NOME DO POSTO: ;ITACURUCA
MUNICÍPIO: ;CANANEIA
CURSO D'ÁGUA: ;RIBEIRA DO IGUAPE,R DA/RIBEIRA,R/RIBEIRINHA,R
LATITUDE: ;25°06'00"
LONGITUDE: ;47°55'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  02/1959;  0,0;  0,0;  3,0; 10,0;  6,0;  0,0;126,0;  0,0;  7,0; 14,0;  4,0; 25,0; 40,0;  0,0;  9,0; 20,0; 23,0; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  7,0;  0,0;  6,0;  7,0;---;---;---;126,0;322,0
  03/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,3;  0,0;  0,0; 35,0;  2,5;  4,0;  1,0;  0,0;  0,0;  0,0;120,0; 10,0; 43,5; 34,5; 36,0; 76,0; 20,0;  7,3;  2,0;  2,5;  0,0;0,0;1,0;0,0;120,0;402,6
  04/1959;  0,0;  0,0;  0,7; 93,0;  0,0; 11,5;  0,0;  1,0;  0,0;  0,0; 38,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0; 16,6;  0,0;  0,0;  0,0;  2,5;  0,0;  0,6; 18,0; 26,1;  0,0;2,0;0,0;---;93,0;215,0
  05/1959;  0,0;124,0;  2,2;  1,7; 10,5;  0,0;  4,2;  0,0;  0,7;  0,3;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0; 24,5; 44,0; 24,5;  3,8;  0,0;  0,0;  0,0;  0,0;  6,0;  0,0;7,3;23,0;0,0;124,0;277,0
  06/1959;  0,0;  0,0;  0,0;  0,3;  0,0; 10,0;  0,0;  0,0;  0,0;  4,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  4,3;  0,0;  0,0;  0,0;  0,0;0,0;0,3;---;10,0;19,7
  07/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;0,0;0,0;2,3;3,0;8,8
  08/1959; 28,0; 13,3;  1,5;  0,0;  4,3;  0,0;  4,5; 13,8;  0,0;  0,0;  0,0;  0,0;  8,3;  2,0;  7,0;  0,0;  0,0;  1,7;  0,8; 22,3;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;20,0;18,3;28,0;149,3
  09/1959;  0,0;  1,3;  8,7; 18,3; 12,8;  0,0;  0,0;  0,0;  0,0;  0,0;  1,8; 18,0; 20,0;  9,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,2;  0,0;  0,0;  0,0; 10,5;  0,0;  5,0;0,0;0,0;---;20,0;115,6
  10/1959;  0,0;  0,0;  0,0;  0,0;  6,5;  0,0;  4,0;  6,0;  0,0;  0,0;  0,8;  6,4; 24,0;  0,0;  0,0;  3,5;  4,0;  0,0;  3,0; 15,0;  4,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;64,0;1,5;0,0;64,0;143,2
  11/1959;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,0; 17,5;  0,0;  2,8;  0,0;  2,6;  0,0;  0,0;  0,0;  0,0;  2,5;  1,0;  0,0;  8,6; 45,7;  0,6;  9,5;0,0;3,5;---;45,7;123,3
  12/1959;  0,0;  3,5;  0,6;  3,5; 27,3;  0,0; 17,5;  0,0;  8,3; 11,0; 23,0;  1,0;  0,0;  0,0;  0,3;  0,0;  0,6;  7,5;  0,0;  0,0; 41,7; 13,0;  0,8;  0,0; 23,2;  4,0;  0,0;  0,0;0,7;3,0;0,0;41,7;190,5
