PREFIXO: ;G5-001
NOME DO POSTO: ;ARIRI
MUNICÍPIO: ;CANANEIA
CURSO D'ÁGUA: ;
LATITUDE: ;25°13'00"
LONGITUDE: ;48°02'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1941;  0,0; 11,2;  1,1; 14,6; 11,6;  2,0;  6,4;131,1; 50,0; 22,5;  0,0;  2,6;  7,8;  2,2;  1,0;  7,0;  0,0;  0,0;  6,0;  1,1;  0,0;  0,0; 58,8; 31,5;  0,0; 15,1;  4,1;  0,0;0,0;8,0;0,0;131,1;395,7
  02/1941; 34,0;  3,1; 31,0; 13,5; 50,5;  5,2;  3,6;  1,9;  0,0; 20,8;  0,0; 95,8;  6,0;  0,0;  0,0; 47,0; 36,4; 23,0;  4,0;  0,0;  6,7; 17,5;  0,0; 44,5; 28,6;  0,0; 50,0; 58,0;---;---;---;95,8;581,1
  03/1941; 11,2;  0,0;  4,8;  2,0; 38,0; 14,4;  0,0; 10,0;  5,0;  0,0;  0,0;  4,3; 10,3;  0,0; 20,0; 43,0;  2,0;  0,0;  1,2;  5,1; 13,3;100,0;  9,0; 27,0;  0,0; 27,5;  0,0;  0,0;0,0;13,0;8,0;100,0;369,1
  04/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 54,4;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 52,5;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;54,4;115,9
  05/1941;  0,0;  0,0;  0,0;  6,0;  4,0;  8,5;  6,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  6,5;  0,0; 21,5; 15,0; 35,0; 10,0; 10,0;  6,0; 14,0;  4,0;  0,0;  5,0;  6,0;7,0;0,0;8,0;35,0;176,5
  06/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  2,0;  8,0; 10,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 25,0;  0,0;  0,0;  0,0;0,0;0,0;---;25,0;52,0
  07/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  8,0;  0,0;  0,0;  0,0;  0,0;  6,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;8,0;19,0
  08/1941;  0,0;  5,0;  6,0;  3,0; 46,0; 20,0;  5,0;  0,0;  0,0;  0,0;  0,0;  6,0; 21,0; 10,0; 20,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;46,0;152,0
  09/1941;  0,0;  0,0; 39,0;  0,0;  0,0;  6,0;  0,0;  0,0; 10,0; 12,0; 20,0;  6,0; 12,0; 15,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0; 40,0;  8,0;  6,0;  8,0;  8,0; 20,0; 30,0;  0,0;0,0;0,0;---;40,0;260,0
  10/1941;  0,0;  0,0;  0,0;  4,0;  5,0;  6,0;  8,0;  9,0; 10,0; 12,0; 14,0;  0,0;  0,0;  0,0;  0,0; 33,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;30,0;0,0;0,0;33,0;138,0
  11/1941;  0,0;  0,0;  0,0;  0,0; 60,0; 70,0; 10,0;  1,0;  3,0;  0,0;  5,0; 12,0; 13,0;  0,0;  0,0;  0,0;  0,0;  5,0;  4,0; 16,0;  0,0; 25,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;70,0;232,0
  12/1941; 68,0;  0,0;  9,0;  5,0;  0,0;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  0,0; 30,0;  7,0; 14,8;  0,0;  0,0;  8,0;  6,0;  0,0;  0,0;  8,0;  0,0; 40,0; 12,0;  0,0;  0,0;  0,0;12,0;0,0;12,0;68,0;245,8
  01/1942; 28,0;  6,0;  0,0;  3,2;  8,4; 10,0;  5,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0;  0,6;  0,0;  7,2;9,5;10,1;10,8;28,0;112,8
  02/1942; 15,0; 13,0;  9,0; 22,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0; 26,4; 43,5; 41,7; 19,3;  2,3;  1,0;  0,0;  0,0;  0,0;  0,0; 78,0;  9,0;---;---;---;78,0;285,2
  03/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  4,0; 50,0;  0,0;  0,0; 20,0; 32,0;  0,0;  0,0;  0,0;  5,0; 80,0; 12,0; 10,0;  5,0; 18,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 50,0;20,0;9,0;5,0;80,0;322,0
  04/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 35,0; 20,0; 10,0; 52,0; 12,0; 10,5;  0,0; 30,3;  3,0; 40,0; 41,0; 10,0;  3,0;  4,0;  2,0;  0,0;  0,0;  0,0;  0,0; 10,0; 40,0;1,0;0,2;---;52,0;324,0
  05/1942;  0,0;  0,0;  0,0;  0,0;  5,0;  1,0;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0; 29,0;  9,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,0;10,5;2,0;0,0;29,0;67,8
  06/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  1,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;5,0;13,0
  07/1942;  0,0; 12,0; 58,0; 91,0;  0,0;  0,0; 10,0; 12,0; 11,0;  1,0;  2,0;  0,0;  3,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  8,0;  0,0; 12,0;0,0;13,0;3,0;91,0;247,0
  08/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0; 20,0; 20,3;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;20,3;62,3
  09/1942;  0,0;  0,0; 10,0;  0,0; 10,0;  2,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,0; 40,0; 20,0;  5,0;  2,0;  0,0;  0,0; 15,0; 20,0; 10,0;  5,0;  0,1;  0,0;  0,0;0,0;10,0;---;40,0;182,1
  10/1942;  9,0; 10,0; 18,0;  4,3; 10,0;  0,0;  0,0; 39,5;  0,0;  0,0;  0,0;  0,0;  5,0;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,5; 29,8;  0,0;  0,7;  0,0;  0,5;0,0;0,0;0,2;39,5;159,0
  11/1942;  0,0; 15,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  2,5;  0,0;  0,0;  4,5; 12,0;  0,0; 10,0;  6,0;  0,1;  5,5; 60,3;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;60,3;117,1
  12/1942; 60,0; 40,0;  8,0;  5,0;  0,5;  0,5;  0,6;  4,1;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0; 14,0;  0,0;  0,3;  0,2;  0,0;  0,0;  0,5;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;60,0;60,0;206,7
  01/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  5,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,9;  0,0;  0,0;  0,0;  0,0; 30,0; 17,0;  0,0; 15,0; 35,0; 25,0;  0,0;  0,0;  9,0;  8,0;0,0;0,0;24,0;35,0;178,5
  02/1943; 20,0; 50,5; 22,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  0,0;  0,0;  0,0;  0,0; 10,4; 36,0; 55,5;  0,0;  0,0;  0,0;  0,0;  0,0;  9,5;  0,0;  0,0;  0,0; 15,0; 30,0;  0,0;---;---;---;55,5;250,3
  03/1943;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,9;  0,0;  0,0;  0,0;  0,1;  0,0;  0,9; 21,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 49,0;0,0;0,0;0,0;49,0;72,9
  04/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 26,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0; 36,0;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;0,4;0,0;---;36,0;73,6
  05/1943;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  9,0;  0,0;  0,9;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;2,6;5,0;9,0;20,0
  06/1943;  0,0;  0,0;  0,0;  0,0;  0,0; 22,0;  0,0; 92,0; 63,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,6; 13,3; 23,0; 15,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;0,0;0,0;---;92,0;255,9
  07/1943;  0,0;  0,0;  0,0;  0,4;  0,0;  0,8;  1,0;  0,6;  2,0;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2;  0,6;  0,8;  0,9;  0,1;  0,3;  0,0;  0,0;  0,0;  0,0;0,3;3,1;1,0;3,1;13,8
  08/1943;  0,0; 12,0;  0,8;  3,0; 15,0;  0,5;  0,0;  0,9;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  5,1; 14,0;  0,5;  0,0;  0,0;  0,0;  0,0;0,0;9,0;2,5;15,0;64,2
  09/1943;  8,2;  2,0;  0,1;  2,9;  0,0;  0,0;  0,0;  0,0;  0,0;  6,6;  0,0;  0,0; 22,8;  0,0;  0,0;  0,0;  0,5; 21,2; 10,0;  0,5; 20,0; 30,7;  7,0;  6,7;  0,0;  3,1;  0,3;  0,0;0,0;0,0;---;30,7;142,6
  10/1943;  0,0;  0,0;  6,5; 36,1; 15,0; 11,1;  0,0;  0,0;  0,0;  1,7; 10,0;  8,3;  9,5; 22,9;  3,8;  2,4; 12,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  9,4;  0,0; 30,1; 27,2;  0,0;0,0;30,3;24,2;36,1;261,6
  11/1943;  5,2;  1,6;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 27,0; 20,8;  0,0;  0,0;  0,2;  0,0; 19,5; 23,2;  0,5;  0,0;  0,0;  0,0;0,0;0,0;---;27,0;98,1
  12/1943;  5,4;  0,6; 14,6; 16,2;  2,0;  0,4;  2,6;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,5;  5,9;  0,0;  1,0;  2,5; 13,5;  6,5;  0,4;  0,5;  0,0;  0,0;  0,0;0,0;14,0;3,0;16,2;101,6
  01/1944; 10,6;  3,1;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,5;  0,1; 15,4; 17,2;  0,0; 27,0; 45,0;  9,0; 16,2;  1,6;  0,5;  0,5; 10,7;  5,9;  0,0; 11,1;  1,5;  0,4;2,1;9,8;13,3;45,0;206,9
  02/1944; 21,0; 45,0; 13,5;  0,0;  0,1; 10,0; 19,7;  5,8; 22,5;  3,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1; 57,6; 13,8; 44,5; 27,0;  0,0; 13,4;  2,8; 26,2; 13,9;  0,0; 50,1;  9,2;16,7;---;---;57,6;416,7
  03/1944;  0,0;  0,0;  0,0;  2,5;  7,4;  9,2;  2,9;  6,7;  0,1;  0,0; 13,4; 43,4; 61,2;  4,7; 10,2;  9,7;  7,0; 44,5; 17,2;  0,0; 14,5;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;61,2;254,7
  04/1944; 19,0;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6; 63,3;  0,5;  4,6;  0,0;  0,0; 46,8; 37,8; 65,1; 61,5;  1,5;  9,3;  0,1;  0,0;  0,0;  0,0;  0,0;  0,2;0,0;3,1;---;65,1;314,2
  05/1944;  2,4;  0,0;  0,0;  0,0;  9,9;  1,8;  0,0;  0,0;  0,0; 16,2; 49,0; 17,9;  5,5;  0,0;  7,2; 29,5; 17,2; 52,7;  0,1;  0,0;  6,1; 12,2;  3,3;  0,0;  0,0;  0,0;  1,3;  0,0;0,0;0,0;0,0;52,7;232,3
  06/1944;  0,1;  0,0;  0,0;  0,0;  3,7;  5,6;  0,1;  0,0;  0,1;  0,1;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0; 30,0; 25,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,5;  4,6; 11,0;  1,0;0,0;0,0;---;30,0;93,0
  07/1944;  0,0;  0,0;  0,0;  0,0;  9,8;  6,7;  0,0;  0,0; 21,8; 10,9; 12,4;  1,0;  0,1;  0,0;  0,2;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  3,0;  4,1;  3,0;  0,0;  0,1;  0,4;0,0;0,0;0,2;21,8;74,2
  08/1944;  2,5;  0,3;  0,0;  0,0;  0,0;  1,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,8;  0,5;  8,0;  5,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;38,0;3,5;0,0;38,0;65,0
  09/1944;  0,0;  8,2; 10,2;  0,0;  0,0; 11,1; 24,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 19,2;  9,1;  0,0;  0,0;  0,0;  0,3;  1,1;  5,4;  0,6;  0,0;  0,0;0,1;0,0;---;24,0;89,3
  10/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,8;  0,0;  0,0;  0,0;  0,0;  4,9;  3,7;  5,6;  0,0;  4,3; 19,2;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0; 22,4; 35,6; 29,4;8,6;0,0;0,0;35,6;139,0
  11/1944;  0,0;  0,0;  0,0;  0,0;  0,9;  0,0; 58,7; 62,4;  0,5;  0,0;  0,0;  0,4;  0,8; 19,2; 27,4;  8,3;  0,0;  0,0;  0,0;  0,0; 22,8;  0,0;  2,8; 28,4; 18,3; 23,7; 13,1;  0,0;0,0;9,7;---;62,4;297,4
  12/1944;  0,0;  0,0; 21,5; 22,8; 18,7;  0,0;  0,0;  0,0;  7,5;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0; 26,4;  5,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5; 60,3; 12,7; 38,3; 14,0; 28,1;0,4;0,1;0,6;60,3;257,5
  01/1945;  0,9; 10,4;  0,4;  0,1;  0,2;  6,1;  0,1; 12,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0; 15,3;  6,5;  0,1;  0,0;  0,0;  1,2; 55,2;  0,0;  1,6;  0,0;  0,0;  0,7;104,9;0,0;0,0;71,5;104,9;288,0
  02/1945; 24,3; 11,4;  4,0;  2,2;  0,0;  0,4;  0,0;  0,4;  0,1;  8,2;  0,5;  1,2;  0,0;  0,0;  0,0;  0,0;  0,6;  3,6;  4,5; 63,7; 31,2; 64,6; 23,1;  8,7; 39,8;  0,6;  0,7;  1,2;---;---;---;64,6;295,0
  03/1945;  1,0; 20,0; 52,5;  3,2; 35,0;  3,5;  2,1;  1,2; 42,5;  2,1;  0,0;  5,1;  0,0;  0,0;  2,1;  0,0;  0,5;  2,0;  1,0;  0,9;  0,9;  0,8;  0,1;  0,0;  0,2; 16,5; 24,5;  0,6;0,0;0,0;1,2;52,5;219,5
  04/1945;  0,2;  0,3;  2,1; 41,4; 50,5;  1,0;  0,4;  0,5;  0,3;  0,1;  0,4;  0,5;  0,3;  0,5;  0,4;  0,5;  1,8;  0,2;  0,0;  0,4;  0,7;  1,5;  0,2; 11,0;  0,6;  0,7;  6,5;  1,8;1,0;4,1;---;50,5;129,9
  05/1945;  3,3;  3,0;  3,1;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,1;  6,4; 17,1; 18,2; 24,6;  9,3;  9,2;  7,6;  3,2;  6,0;  2,5;  0,0;  0,0;  0,0;  0,1;0,0;0,0;0,0;24,6;116,6
  06/1945;  0,0;  0,0;  0,0;  0,0;  4,3; 11,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,6;  9,5; 25,3;  8,2; 30,2; 12,0;  2,0;  3,3;  3,6;3,7;3,2;---;30,2;134,0
  07/1945;  0,0;  3,2;  0,0; 10,1;  0,5;  0,6;  0,0;  0,0;  1,2; 19,3; 35,5;  2,0;  1,3;  0,7;  0,7;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  2,1;  1,0;  0,0;  0,0;  0,0;0,0;0,1;0,0;35,5;81,9
  08/1945;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  3,5;  0,0;  0,0;  0,0;  0,0;  0,9; 20,8;  9,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;1,0;20,8;36,5
  09/1945; 17,0;  7,0;  9,5;  5,4;  0,0;  0,0;  0,0;  0,0;  0,0; 13,3; 25,4;  1,7;  1,1;  0,2;  0,0; 38,7;  8,2;  0,0;  2,4;  2,4;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  2,7;0,0;17,9;---;38,7;153,5
  10/1945; 27,3;  0,0;  0,0; 21,5; 20,6; 25,7;  9,7; 21,8;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;1,2;3,5;27,3;148,8
  11/1945; 13,9;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0; 19,6;  0,0;  0,0;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0; 27,5; 21,4; 18,7;  9,2;  4,3; 12,4;  0,0;0,0;0,0;---;27,5;129,8
