PREFIXO: ;G5-002
NOME DO POSTO: ;MORRO REDONDO
MUNICÍPIO: ;CANANEIA
CURSO D'ÁGUA: ;IPIRANGUINHA,R
LATITUDE: ;25°04'00"
LONGITUDE: ;48°08'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1969;---;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  09/1969;  0,0;  0,0;  0,0;  1,2;  1,9;  0,0;  0,0;  1,6;  0,0;  0,0;  0,0;  0,0;  0,4;  7,3;  1,4;  0,0;  2,3;  0,0;  0,0;  4,1;  8,1;  0,0;  0,0;  3,3;  5,2;  1,2;  0,0;  1,3;7,8;20,0;---;20,0;67,1
  10/1969;  6,2;  3,4; 20,0;  2,6;  3,0;  0,0; 40,6;  1,6;  0,8;  3,0;  0,0;  1,4;  4,2;  0,2;  0,0;  9,1; 19,6;  0,9;  0,0; 21,2;  5,1;  2,4; 24,5;  0,0;  0,1;  0,0;  0,0;  0,0;0,1;0,8;21,8;40,6;192,6
  11/1969;  0,0;  3,0; 22,0;  0,0;  0,4;  0,0; 10,7;  2,3; 16,7;  5,8;  0,2;  1,2; 68,0; 99,6;  8,7;  1,7;  0,0;  0,0;  1,1; 76,0; 30,0;  2,6; 11,0;  1,0;  0,0;  0,0;  0,0;  0,0;9,3;2,1;---;99,6;373,4
  12/1969; 10,0;  0,0; 10,8;  0,0; 24,0;  0,0;  2,8; 26,6;  1,7;  3,0; 11,2;  7,1;  2,6;  8,0;  1,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,0; 50,6;  2,2;  3,3;  0,6;  1,4;0,2;0,0;1,3;50,6;198,8
  01/1970; 13,0;  1,8; 21,8;  0,0;  0,0;  0,2;  0,7;  0,0;  0,0; 23,8;  1,5;  1,9;  0,0;  0,6; 17,1; 87,0;  0,0;  0,0;  0,3; 16,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;8,0;0,0;5,0;87,0;199,5
  02/1970;  9,0; 39,0;  0,1;  5,3;  0,0;  6,3;  0,0;  0,0;  0,0; 20,8;  3,8;  1,9;  3,7;  4,3;  8,0;  9,8;  2,4;  0,0;  2,2;  0,0;  3,2; 19,5; 36,1;  3,9; 30,0; 55,0;  4,6;  0,8;---;---;---;55,0;269,7
  03/1970;  0,0;  0,0;  0,0;  1,4;  0,0;  0,0;  0,0; 16,8; 66,8; 16,6; 22,3; 23,7;  0,0;  0,0;  0,0;  9,3;  1,9;  0,0;  0,0; 30,0;  0,0;  0,0;  0,0;  0,0; 26,8;  0,0;  0,0;  0,0;0,0;0,8;1,7;66,8;218,1
  04/1970;  4,6;  1,1;  0,3; 42,6; 35,3; 29,4;  1,6; 27,4; 19,8;  1,1;  4,8; 11,8;  2,0;  1,0;  0,0;  4,7;  0,0; 21,9;  0,0;  9,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 24,0;0,0;22,4;---;42,6;264,8
  05/1970;  0,0;  1,4;  0,2;  0,0;  0,0; 25,7; 46,4;  1,8;  0,0;  0,1;  0,0;  8,0;  2,5;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  2,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;46,4;101,1
  06/1970;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2; 20,0; 40,0;  1,3;  0,0;  0,0;  0,0;  0,0; 60,0; 70,0;  0,0;  0,9;  3,2; 11,0;  1,4;  0,0;  0,0; 17,0; 27,4;  0,0;  2,1;  0,0;  2,1;6,0;10,0;---;70,0;273,6
